Frequency(Hz), |h_k|
0.000000000000000000e+00,1.751881632441212953e-03
3.051757812500000000e-02,4.498489925250682975e-03
6.103515625000000000e-02,4.014607365559453266e-03
9.155273437500000000e-02,5.785704156708661693e-03
1.220703125000000000e-01,3.959844535571937184e-03
1.525878906250000000e-01,5.101932696049910412e-03
1.831054687500000000e-01,4.659511635156267720e-03
2.136230468750000000e-01,5.001251624511994162e-03
2.441406250000000000e-01,1.650361803023252206e-03
2.746582031250000000e-01,5.692510091846888186e-03
3.051757812500000000e-01,3.421529877367437359e-03
3.356933593750000000e-01,4.077288886302202729e-03
3.662109375000000000e-01,1.894594500869545587e-03
3.967285156250000000e-01,3.107391890304830873e-03
4.272460937500000000e-01,1.390377225392402591e-03
4.577636718750000000e-01,3.984141292812737670e-03
4.882812500000000000e-01,7.706043488258121528e-03
5.187988281250000000e-01,2.794950111463392808e-03
5.493164062500000000e-01,8.305729656264354901e-03
5.798339843750000000e-01,4.939433297791965584e-03
6.103515625000000000e-01,5.300868807367742352e-03
6.408691406250000000e-01,9.099147741148972193e-03
6.713867187500000000e-01,9.512960188755760146e-03
7.019042968750000000e-01,1.265598011513233232e-03
7.324218750000000000e-01,1.584576687006845810e-03
7.629394531250000000e-01,8.080983991333086716e-03
7.934570312500000000e-01,2.186265494120210196e-03
8.239746093750000000e-01,7.812377385857135863e-03
8.544921875000000000e-01,4.965613381860316602e-03
8.850097656250000000e-01,4.218705576784467955e-03
9.155273437500000000e-01,5.066326505869499404e-03
9.460449218750000000e-01,5.195861201581670162e-03
9.765625000000000000e-01,7.602052479115558627e-03
1.007080078125000000e+00,2.491087581518702451e-03
1.037597656250000000e+00,3.874690251535756712e-03
1.068115234375000000e+00,5.568128854859693763e-03
1.098632812500000000e+00,3.201570272608243208e-03
1.129150390625000000e+00,9.428668542906150016e-03
1.159667968750000000e+00,4.265510710695173853e-03
1.190185546875000000e+00,5.981098087880438834e-03
1.220703125000000000e+00,8.358144540923236401e-03
1.251220703125000000e+00,1.027858101214743081e-02
1.281738281250000000e+00,3.894875734217941119e-03
1.312255859375000000e+00,2.903173701208087466e-03
1.342773437500000000e+00,1.500888622944374388e-03
1.373291015625000000e+00,6.549880823509319008e-03
1.403808593750000000e+00,7.366409586138835362e-03
1.434326171875000000e+00,3.983683783937196424e-03
1.464843750000000000e+00,7.070613355267825473e-03
1.495361328125000000e+00,5.641248680031222922e-03
1.525878906250000000e+00,6.604205504307545521e-03
1.556396484375000000e+00,1.201863694391893354e-02
1.586914062500000000e+00,1.741474731204058039e-03
1.617431640625000000e+00,9.106809831897131474e-03
1.647949218750000000e+00,2.837806664278490730e-03
1.678466796875000000e+00,1.186192550252303766e-03
1.708984375000000000e+00,3.380170940305582579e-03
1.739501953125000000e+00,1.826259353734817044e-03
1.770019531250000000e+00,6.138578834124963982e-03
1.800537109375000000e+00,4.246595302267262145e-03
1.831054687500000000e+00,1.536445268787170254e-03
1.861572265625000000e+00,4.307604517479206654e-03
1.892089843750000000e+00,3.384384820251081730e-03
1.922607421875000000e+00,4.625128920095304685e-03
1.953125000000000000e+00,8.785422238704787903e-03
1.983642578125000000e+00,2.866195633222549683e-03
2.014160156250000000e+00,5.294292518595061781e-03
2.044677734375000000e+00,6.088719545909688363e-03
2.075195312500000000e+00,4.000161442381606515e-03
2.105712890625000000e+00,4.332713717117410782e-03
2.136230468750000000e+00,2.844613469201371508e-03
2.166748046875000000e+00,8.649498788174326408e-03
2.197265625000000000e+00,5.480476364301710944e-03
2.227783203125000000e+00,8.350899906496751096e-03
2.258300781250000000e+00,5.859642674554170309e-03
2.288818359375000000e+00,1.123637966954270893e-02
2.319335937500000000e+00,9.053765176435250167e-03
2.349853515625000000e+00,2.772474610517057514e-03
2.380371093750000000e+00,3.201363157917946553e-03
2.410888671875000000e+00,2.359334607382463592e-03
2.441406250000000000e+00,2.207880387683716465e-03
2.471923828125000000e+00,5.798904798545208815e-03
2.502441406250000000e+00,7.445448661632056778e-03
2.532958984375000000e+00,4.592869111995002973e-03
2.563476562500000000e+00,2.027424866279714522e-03
2.593994140625000000e+00,3.270802869241387374e-03
2.624511718750000000e+00,4.885743562882255246e-03
2.655029296875000000e+00,3.229759367792607149e-03
2.685546875000000000e+00,1.645624433891138558e-03
2.716064453125000000e+00,9.262477652569330033e-03
2.746582031250000000e+00,7.633931343235105318e-03
2.777099609375000000e+00,4.728245631514844602e-03
2.807617187500000000e+00,6.250730103859041507e-03
2.838134765625000000e+00,7.821920868403725233e-03
2.868652343750000000e+00,7.012651968057112724e-03
2.899169921875000000e+00,2.163787296706776251e-03
2.929687500000000000e+00,5.899646558085689350e-03
2.960205078125000000e+00,6.410559123544798225e-03
2.990722656250000000e+00,5.427961765274311179e-03
3.021240234375000000e+00,4.699893307711978420e-03
3.051757812500000000e+00,8.446371279905223392e-03
3.082275390625000000e+00,2.933752539630784043e-03
3.112792968750000000e+00,2.505246212618557344e-03
3.143310546875000000e+00,3.088020471542961276e-03
3.173828125000000000e+00,6.610154933722425796e-03
3.204345703125000000e+00,3.794085448629289960e-03
3.234863281250000000e+00,9.145061640182229612e-03
