Frequency (Hz), |h_k|
-5.000000000000000000e+02,5.740565733183366603e+01
-4.999694824218750000e+02,1.474065178706143797e+02
-4.999389648437500000e+02,1.315506541546521646e+02
-4.999084472656250000e+02,1.895859538070294263e+02
-4.998779296875000000e+02,1.297561857416212376e+02
-4.998474121093750000e+02,1.671801305841634644e+02
-4.998168945312500000e+02,1.526828772608005806e+02
-4.997863769531250000e+02,1.638810132320090247e+02
-4.997558593750000000e+02,5.407905556146592829e+01
-4.997253417968750000e+02,1.865321706896388321e+02
-4.996948242187500000e+02,1.121166910215761874e+02
-4.996643066406250000e+02,1.336046022263505790e+02
-4.996337890625000000e+02,6.208207260449326981e+01
-4.996032714843750000e+02,1.018230174615086980e+02
-4.995727539062500000e+02,4.555988092165824810e+01
-4.995422363281250000e+02,1.305523418828877880e+02
-4.995117187500000000e+02,2.525116330232421262e+02
-4.994812011718750000e+02,9.158492525243245552e+01
-4.994506835937500000e+02,2.721621493764703814e+02
-4.994201660156250000e+02,1.618553503020471283e+02
-4.993896484375000000e+02,1.736988690798261814e+02
-4.993591308593750000e+02,2.981608731819695208e+02
-4.993286132812500000e+02,3.117206794651487485e+02
-4.992980957031250000e+02,4.147111564126562655e+01
-4.992675781250000000e+02,5.192340887984032349e+01
-4.992370605468750000e+02,2.647976834280025855e+02
-4.992065429687500000e+02,7.163954771133104771e+01
-4.991760253906250000e+02,2.559959821797666280e+02
-4.991455078125000000e+02,1.627132192967988544e+02
-4.991149902343750000e+02,1.382385443400734459e+02
-4.990844726562500000e+02,1.660133869443317565e+02
-4.990539550781250000e+02,1.702579798534281679e+02
-4.990234375000000000e+02,2.491040556356586251e+02
-4.989929199218750000e+02,8.162795787120484192e+01
-4.989624023437500000e+02,1.269658501623236759e+02
-4.989318847656250000e+02,1.824564463160424452e+02
-4.989013671875000000e+02,1.049090546928269134e+02
-4.988708496093750000e+02,3.089586108139487237e+02
-4.988403320312500000e+02,1.397722549680594568e+02
-4.988098144531250000e+02,1.959886221436662197e+02
-4.987792968750000000e+02,2.738796803169726104e+02
-4.987487792968750000e+02,3.368085426060470127e+02
-4.987182617187500000e+02,1.276272880588534946e+02
-4.986877441406250000e+02,9.513119584118661010e+01
-4.986572265625000000e+02,4.918111839664125995e+01
-4.986267089843750000e+02,2.146264948247533653e+02
-4.985961914062500000e+02,2.413825093185973572e+02
-4.985656738281250000e+02,1.305373502320540524e+02
-4.985351562500000000e+02,2.316898584254161051e+02
-4.985046386718750000e+02,1.848524367472631127e+02
-4.984741210937500000e+02,2.164066059651496516e+02
-4.984436035156250000e+02,3.938266953783356144e+02
-4.984130859375000000e+02,5.706464399209457383e+01
-4.983825683593750000e+02,2.984119445716052041e+02
-4.983520507812500000e+02,9.298924877507758424e+01
-4.983215332031250000e+02,3.886915748666748982e+01
-4.982910156250000000e+02,1.107614413719333299e+02
-4.982604980468750000e+02,5.984286650318248491e+01
-4.982299804687500000e+02,2.011489512366068197e+02
-4.981994628906250000e+02,1.391524348646936460e+02
-4.981689453125000000e+02,5.034623856761799487e+01
-4.981384277343750000e+02,1.411515848287586437e+02
-4.981079101562500000e+02,1.108995217899874461e+02
-4.980773925781250000e+02,1.515562244536829439e+02
-4.980468750000000000e+02,2.878807159178784900e+02
-4.980163574218750000e+02,9.391949850943650802e+01
-4.979858398437500000e+02,1.734833772493229844e+02
-4.979553222656250000e+02,1.995151620803686683e+02
-4.979248046875000000e+02,1.310772901439604823e+02
-4.978942871093750000e+02,1.419743630825033165e+02
