SFrequency(Hz) |h_k|
1.362304687500000000e+02 1.460992545895408671e-03
1.362609863281250000e+02 2.804062601805260100e-03
1.362915039062500000e+02 4.626906710592387090e-03
1.363220214843750000e+02 5.539373825991070026e-03
1.363525390625000000e+02 1.106389040995360042e-03
1.363830566406250000e+02 3.617051692412517113e-03
1.364135742187500000e+02 1.088673450499577644e-02
1.364440917968750000e+02 1.010660239912277575e-03
1.364746093750000000e+02 9.064277433142909485e-03
1.365051269531250000e+02 4.234418357170884224e-03
1.365356445312500000e+02 8.075080380380924780e-03
1.365661621093750000e+02 4.627122867806804721e-03
1.365966796875000000e+02 5.785065321912716794e-03
1.366271972656250000e+02 7.397457037068945647e-03
1.366577148437500000e+02 8.925650813057755054e-03
1.366882324218750000e+02 9.396347861283725969e-03
1.367187500000000000e+02 8.783910205253086254e-04
1.367492675781250000e+02 8.984290779005407734e-03
1.367797851562500000e+02 5.117258732846913759e-03
1.368103027343750000e+02 1.179819182878615730e-02
1.368408203125000000e+02 1.013193641993919043e-02
1.368713378906250000e+02 2.092524113023942409e-02
1.369018554687500000e+02 4.086619145425759297e-02
1.369323730468750000e+02 4.009440281777884585e-02
1.369628906250000000e+02 5.063012622460821149e-02
1.369934082031250000e+02 5.364885230929489907e-02
1.370239257812500000e+02 5.219074258458027832e-02
1.370544433593750000e+02 4.956325127999534202e-02
1.370849609375000000e+02 4.808156193219061125e-02
1.371154785156250000e+02 3.152489620145928345e-02
1.371459960937500000e+02 3.835980557284841830e-02
1.371765136718750000e+02 1.444220964991960350e-02
1.372070312500000000e+02 1.551855811678506773e-02
1.372375488281250000e+02 3.756136610226298075e-03
1.372680664062500000e+02 1.132174107677196701e-02
1.372985839843750000e+02 9.626800932622595064e-03
1.373291015625000000e+02 4.069805858610613288e-03
1.373596191406250000e+02 2.804879900565735405e-03
1.373901367187500000e+02 1.234391169636421494e-03
1.374206542968750000e+02 2.853753931504207208e-03
1.374511718750000000e+02 1.614861331508144491e-03
1.374816894531250000e+02 2.406726156105852728e-03
1.375122070312500000e+02 3.519092412444341841e-03
1.375427246093750000e+02 2.468428680996461854e-03
1.375732421875000000e+02 7.870514278651343648e-03
1.376037597656250000e+02 9.080196436275991692e-04
1.376342773437500000e+02 8.267415714603537982e-03
1.376647949218750000e+02 1.340545491939303373e-03
1.376953125000000000e+02 3.335121805901735022e-03
1.377258300781250000e+02 4.898115337296640899e-03
